dog_code,Dirofilaria,Agey,Sex,Mental,HR,RR,MM,CRT,temp_F,BCS,WBC,LYM,LYMPER,MID,MIDP,GRAN,GRANP,RBC,HGB,HCT,MCV,MCH,MCHC,RDW,PLT,MPV,SEG,BAND,LYMP,MONO,EOSIN,BASO,VARLYM,hhid,communidad,waypoint,latitude,longitude,GPS_lat,GPS_long,longitude,altitude
PN001-101,Neg,4,F,Alert,100,.,Normal,Normal,109,7,18,12.2,67.8,2.8,15.7,3,16.5,6.07,13.3,38.3,63.1,21.9,34.7,19.7,296,0,72,3,16,5,4,.,.,PN001,Pueblo Nuevo,8.897914 -79.962367 151.11724300379825 16,8.897914,-79.962367,8.897711123,-79.96212704,-79.962367,151.117243
PN001-102,Neg,3,M,Alert,88,.,Pale,.,100,6,11.2,7.4,65.7,2.3,20.4,1.6,13.9,6.87,16.6,47.6,69.3,24.2,34.9,16.2,224,10.6,73,0,17,7,3,0,.,PN001,Pueblo Nuevo,8.897914 -79.962367 151.11724300379825 16,8.897914,-79.962367,8.897711123,-79.96212704,-79.962367,151.117243
PN002-103,Neg,8,M,Very slightly depressed,96,Slightly labored,Muzzle,Muzzle,101.2,2,19.8,15.7,79.3,2.8,13.9,1.3,6.8,4.28,10.7,28.4,66.3,25,37.7,19.7,153,0,32,0,60,4,4,0,.,PN002,Pueblo Nuevo,8.900336 -79.962997 243.8402325611991 16,8.900336,-79.962997,8.900149036,-79.96293498,-79.962997,243.8402326
PN003-104,Neg,3,M,Slightly depressed,60,Labored,Pink and moist,Normal,102.4,1,17.3,8.8,50.6,3.8,22.1,4.7,27.3,4.79,9.7,27.3,57,20.3,35.5,19.2,137,0,50,0,34,2,14,0,.,PN003,Pueblo Nuevo,8.900019 -79.962907 154.9881044036193 16,8.900019,-79.962907,8.900053985,-79.96316004,-79.962907,154.9881044
PN004-105,Neg,1,M,Alert,120,Normal,Pale,Muzzle,104.2,3,12.9,7.1,55.3,3.1,24.4,2.6,20.3,5.73,11.6,32.1,56.1,20.2,36.1,18.2,109,0,55,0,25,6,14,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-106,0,2,M,Alert,92,Normal (32),Normal,Muzzle,101.7,3,14.8,10.6,71.5,2.7,18.2,1.5,10.3,6.49,14.1,41.1,63.3,21.7,34.3,17.2,159,0,67,0,27,3,3,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-107,Neg,5.5,M,Normal,112,24,Muzzle,Muzzle,102.5,4,14.7,8.5,.,2.6,.,3.6,.,6.8,14.2,43,53.7,66,33,.,.,0,57,1,14,9,19,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-108,0,2,M,Alert,76,28,Muzzle,Muzzle,102.2,4,13.3,6.6,49.8,2.9,21.7,3.8,28.5,6.72,14.3,39.6,59,21.3,36.1,18.4,231,0,45,0,38,3,14,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-109,Neg,5.5,M,Stressed,80,92,Muzzle,Muzzle,103.5,4,17.8,6.6,37.1,4.2,23.7,7,39.2,0,16.6,0,65.2,0,0,17.1,0,0,67,0,6,8,17,2,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-110,Neg,10,M,Alert,108,Normal,Muzzle,Muzzle,102.9,2,31.7,18,56.7,9.8,30.8,4,12.5,3.67,7.4,20.2,55,20.2,36.6,20.6,233,0,72,4,12,8,4,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN004-111,Neg,4,F,Alert,64,Normal,Muzzle,Muzzle,102.1,2,11.2,7.2,64.2,2.7,24.5,1.3,11.3,5.67,12.2,35,61.7,21.5,34.9,15,175,0,66,0,24,4,6,0,.,PN004,Pueblo Nuevo,8.899833 -79.961928 117.87566559337428 32,8.899833,-79.961928,8.899835972,-79.96203996,-79.961928,117.8756656
PN005-112,Neg,5,M,Alert,84,Normal,Muzzle,Muzzle,101.5,5,19.3,12.4,64.3,3.7,19.2,3.2,16.5,5.6,11.7,34.4,61.4,20.9,34,18.8,57,0,31,1,44,12,12,0,.,PN005,Pueblo Nuevo,8.900028 -79.962849 163.26160959993302 48,8.900028,-79.962849,0,0,-79.962849,163.2616096
PN006-113,Neg,1,M,Alert,64,Normal,Muzzle,Muzzle,102.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN006,,,,,,,,
PN007-114,Neg,8,M,Alert/stressed,80,Normal,Muzzle,Muzzle,102,5,17.4,9.7,56,2.8,16.3,4.8,27.7,6.8,15.5,47.1,69.2,22.8,32.9,15.2,255,8.5,65,0,14,2,19,0,.,PN007,Pueblo Nuevo,8.965205 -79.54728 0 56.84700012207031,8.965205,-79.54728,8.90492999,-79.96939098,-79.54728,0
PN008-115,Neg,NA,M,Alert,136,64,Muzzle,Muzzle,102.6,4,16.9,12.4,73.4,2.7,16.1,1.8,10.5,6.68,15.8,46.9,70.2,23.7,33.7,15.9,69,0,62,0,25,3,10,0,.,PN008,Pueblo Nuevo,8.898497 -79.962674 174.99527112685038 16,8.898497,-79.962674,8.89846704,-79.96247096,-79.962674,174.9952711
PN008-116,Neg,3,M,"Alert/very angry, very stressed",.,.,Muzzle,Muzzle,.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN008,Pueblo Nuevo,8.898497 -79.962674 174.99527112685038 16,8.898497,-79.962674,8.89846704,-79.96247096,-79.962674,174.9952711
PN009-117,0,5,M,Alert,128,Normal,Muzzle,Muzzle,103.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,PN009,,,,,,,,
PN011-118,0,10,M,Alert,68,Normal,0,0,102.2,5,18.1,10.6,58.8,3.7,20.7,3.7,20.5,6.55,14.1,43,65.7,21.5,32.8,17.1,122,0,51,5,18,3,23,0,.,PN011,,,,,,,,
PN012-119,Neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN012-120,Neg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN013-121,Neg,4,M,NA,120,.,.,.,103.2,6,12.1,7.4,60.9,2.1,17.5,2.6,21.6,0,15.8,0,61.3,0,0,17.9,0,0,25,0,57,4,14,0,.,PN013,Pueblo Nuevo,8.891723 -79.962051 182.9739137039167 8,8.891723,-79.962051,8.89082199,-79.96229603,-79.962051,182.9739137
PN013-122,Neg,6,F,Alert,104,Normal,.,.,101.6,5,24.5,16.3,66.4,4.3,17.5,3.9,16.1,5.82,13.8,41.3,70.9,23.7,33.4,16.2,149,0,67,0,23,0,10,0,.,PN013,Pueblo Nuevo,8.891723 -79.962051 182.9739137039167 8,8.891723,-79.962051,8.89082199,-79.96229603,-79.962051,182.9739137
PN014-123,Neg,1,M,Alert,120,Normal,0,0,103,3,7.3,4.5,61.1,1.7,23.3,1.1,15.6,5.26,9.8,28.8,54.7,18.6,34,18.6,31,0,80,0,12,4,4,0,.,PN014,,,,,,,,
PN014-124,Neg,4,M,Alert,152,Normal,0,0,104.1,2,6.8,5.2,76.3,1.1,15.8,0.5,7.9,4.78,8.1,24.1,50.5,16.9,33.6,17,46,0,73,0,17,4,6,0,.,PN014,,,,,,,,
PN014-125,Neg,0.5,M,"Stressed, aggressive",120,Normal,0,0,103.3,1,15.7,11.1,70.5,2.9,18.6,1.7,10.9,4.55,9.2,27.8,61.2,20.2,33.1,16.1,15,0,55,0,33,5,7,0,.,PN014,,,,,,,,
PN014-126,Neg,10,M,Alert,100,0,Pale,Normal,102.5,4,6.4,4.1,64.4,1.7,26.8,0.6,8.8,2.86,6.5,18.3,64,22.7,35.5,17.3,120,0,75,2,10,7,6,0,.,PN014,,,,,,,,
